linkedin_url,input_name
https://www.linkedin.com/company/thuasne,THUASNE
https://www.linkedin.com/company/dat-con-d-o-o,Dat-Con
https://www.linkedin.com/company/centumtns,ADENEO
https://www.linkedin.com/company/the-coca-cola-company,Coca Cola
https://www.linkedin.com/company/tcoag,TCOAG DEUTSCHLAND GMBH
https://www.linkedin.com/company/exxelia,EXXELIA ELECTRONIC TECHNOLOGIES
https://www.linkedin.com/company/fintall-oy,FINTALL OY
https://www.linkedin.com/company/samidefense,Saudi Arabian Military Industries
https://www.linkedin.com/company/sabca,S.A.B.C.A SA Belge de Constructions Aéronautiques
https://www.linkedin.com/company/martin-technologies,MARTIN-TECHNOLOGIES
